,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
0,Sip Sip,Arjun Patiala,"Guru Bhullar, Akash D",Akash D,Akash D, ,Gol gol mainu lage Mainu lage duniya saari Hale thodi hai peeti Par peeni bottle saari x (2) Peg neat main bana ke Jager te shot laake Peg neat main bana ke Jager te shot laake Bhul jaani duniyadari Bhul jaani duniyadari Sip sip kar piyunga Par piyunga bottle saari x (4) Mix karke sab peete hain Main peeta hoon neat Saare sad ho chon maithon Mere sir te chadh gayi weed Poori bottle khatam karke Full set main ho jaunga Mujhe ghar nahi jaana Yahin main so jaunga Seal bottle ki khol Saare munh ko laga lo Door door jo baithi hain Unhein paas bulwa loonga Naughty kuchh karne ka Mera mood ab bana hai Jaldi se yeh maan jao Aur kuchh to karwa lo Sip sip kar piyunga x (4) Saturday di night aa Talli ajj ho jao saare Peeke hona full tight aa Bottoms-up kar do saare x (2) Daaru mind te chadha ke Hangover night bana ke Daaru mind te chadha ke Hangover night bana ke Party karni raat main saari Sip sip kar piyunga Par peeyunga bottle saari x (8)
1,Para Para,Judgemental Hai Kya,Arun Dev Yadav,Rachita Arora,Prakhar Varunendra, ,"Tame chu, hoo hoo ha ha Tame chu, hoo hoo ha ha Tame chu, tame chu, tame chu Tuchiya Pa pari pa pa para para Hoo hoo ha ha Pa pari pa pa para pari pa Pari pa pa Bas ek character ya khud hi kahani hai Bhatti ki aanch ya barish ka paani x (2) Cho chamak cho Bigdi jhagdi si ladki Cho chamak cho Khaali bhari si ladki Cho chamak cho Cho cho chamak cho Cho cho chamak cho Bak bak bak bak bolti rehti Dagmag dagmag dolti rehti Bematlab bekhauf baat si Baji barabar wall clock si x (2) Pa pari pa pa para para Pari pa pa Yeh queen shaitani Hoo hoo ha ha Jalti phuljhadi si hai, hey Jaise nasha ho kiya Hoo hoo ha ha Jalti fuljhadi si hai ha Jaise nasha ho kiya Tala na hai zubaan pe Jo chaaha keh diya Tame chu chume ta tuchiya ta tuchiya x (3) Tame chu chume ta tuchiya Bak bak bak bak bolti rehti Dagmag dagmag dolti rehti Bematlab bekhauf baat si Baji barabar wall clock si x (2) Pa pari pa pa para para Pari pa pa Yeh queen shaitani Reality ka ratta maar Raat raat ro leti hai Tedhi tedhi talk hai uski Tongue twist ho leti hai x (2) Tame chu chume ta tuchiya ta tuchiya x (4) Bak bak bak bak bolti rehti Dagmag dagmag dolti rehti Bematlab bekhauf baat si Baji barabar wall clock si x (2) Pa pari pa pa para para Pari pa pa Yeh queen shaitani"
2,Dil Jaaniye,Khandaani Shafakhana,"Jubin Nautiyal, Tulsi Kumar",Payal Dev,Shabbir Ahmed, ,Sachiyan mohabbtan nibhawanga Ranjheyan main tera kehlawanga Ik vaari dil lag jaane de Dil da karaar ban jawanga Sachiyan mohabbatan nibhawangi Heeriye main teri kehlawangi Ik vaari dil lag jaane de Dil da karaar ban jawangi Ilteja dil di hai Ik pehal ishq ki hone de Dil Jaaniye mainu jee lain de Do lafz-e mohabbat keh lain de Dil Jaaniye mainu jee lain de Do lafz-e mohabbat keh lain de Din raat tujhe main dekha karoon Aankhon ki yehi bas chahat hai Din raat tujhe main dekha karoon Aankhon ki yehi bas chahat hai Main kaid hoon teri lakeeron mein Tere sath hi meri kismat hai Jeet ki haar ki Ik pehal pyar ki hone de Dil Jaaniye mainu jee lain de Do lafz-e mohabbat keh lain de Dil Jaaniye mainu jee lain de Do lafz-e mohabbat keh lain de Mera rab tujhmein hi vassda ae Dil karta teri ibaadat hai Mera rab tujhmein hi vassda ae Dil karta teri ibaadat hai Nazdeek hai lekin keh na sake Mujhko teri hi aadat hai Bewajah jeene ki Haule haule se dil khone de Dil Jaaniye mainu jee lain de Do lafz-e mohabbat keh lain de Dil Jaaniye mainu jee lain de Do lafz-e mohabbat keh lain de
3,O Saki Saki,Batla House,"Neha Kakkar, Tulsi Kumar, B Praak",Tanishk Bagchi,-, ,"Main teri aankhon ka saahil Main tere dil ke hi kaabil Tu musafir main teri manzil Ishq ka dariya hai behta Doob ja tujhse hai kehta Haan meri baaho mein aake mil Wo sharabi kya sharabi Dil mein jiske gham na hon Lut gaya samjho sharabi Paas jiske hum na hon O saki saki re, saki saki Aa paas aa reh na jaaye Koyi khwaahish baaki O saki saki re, saki saki Aa paas aa reh na jaaye Koyi khwaahish baaki Tere jaisi mashuka mujhe yaar chahiye Na paisa chahiye na hi karaar chahiye Ye husn ka hai khumaar mera Tujhpe hai chhaaya jo Kurbaan hua mujhpe jo Khushnaseeb bada hai wo Wo sharabi kya sharabi Dil mein jiske gham na hon Lut gaya samjho sharabi Paas jiske hum na hon Saki saki saki O saki saki re, saki saki Aa paas aa reh na jaaye Koyi khwaahish baaki O saki saki re, saki saki Aa paas aa reh na jaaye Koyi khwaahish baaki"
4,Zilla Hilela,Jabariya Jodi,"Raja Hasan, Dev Negi, Pravesh Mallick, Monali Thakur",Tanishk Bagchi,"Shabbir Ahmed, Tanishk Bagchi", ,"Bijli gira de raani Oye cooler chala de raani Hoye bijli gira de raani Cooler chala de raani Aaya hai hero kamaal kar de Band bula le aaja Nachega tera raaja Toll free pe tu call karde Jab kamar teri balkhaye Har dil se nikle haye Jab hile tu bhookamp aavela Eh duyi teen chaar Patna hile Patna hile, Baliya hile Chhapra hilela Ho chhori lachke, aaye haye Gori lachke, oho Teri lachke jab kamariya Saara zilla hilela Ho chhori lachke jab kamariya Saara jila hilela Mera pyar bada hai desi baby Ismein kya achambha Arre roz kare tu disco baby Aaj tu kar le zumba Jab kamar teri balkhaye Har dil se nikle haye Jab hile tu bhookamp aavela Eh duyi teen chaar Kaashi hile Kaashi hile, Mathura hile Jhansi hilela Ho meri lachke, haye haye haye Lachke haye haye Lachke jo kamariya Saara jila hilela Ho chhori lachke jab kamariya Saara zilla hilela"
5,Sachiyan Mohabbatan,Arjun Patiala,Sachet Tandon,Sachin-Jigar,Priya Saraiya, ,"Main jadon teri Khaabon ki gali mein challeya Ho challeya to chal ke main tainu mileya Ho mil gaye, mil gaye tere mere nain Main aashiq tera banneya Main jadon teri Khaabon ki gali mein challeya Ho challeya to chal ke main tainu mileya Ho mil gaye, mil gaye tere mere nain Main aashiq tera banneya ho Dass lain de, mainu dass lain de Dil da jo haal hai woh dass lain de Sachiyan Mohabbatan main tainu karda Tere layi, tere layi jag lad’da Ho mujhse tu hove na, hove na kadi door Itni araj main Rabb se karda Sachiyan Mohabbatan main tainu karda Tere layi, tere layi jag chhad’da Tu ik pal hove na, hove na kadi door Itni araj main Rabb se karda ho Sunn kudiye, chal chaliye Chal chaliye chal chal chaliye Chal challa chaliye Main jadon teri Khaabon ki gali mein challeya Ho challeya to chal ke main tainu mileya Ho mil gaye, mil gaye tere mere nain Main aashiq tera banneya ho Dass lain de, mainu dass lain de Dil da jo haal hai woh dass lain de Ho ajj kehan de mainu keh vi lain de Dil da jo haal hai woh dass lain de"
6,Funk Love,Jhootha Kahin Ka,Yo Yo Honey Singh,Yo Yo Honey Singh,"Yo Yo Honey Singh, Lil Golu", ,"Aaja oh sexy girl mere kol Teri jawaani baby hai anmol Apple bottom tere jaise duniya gol Meri dirty picture ka kar le tu role Machhli Jal ki raani hai Jeevan jiska paani hai Aaj wo machhli kha jaaunga Naam jiska Sunny hai Machhli Jal ki raani hai Jeevan jiska paani hai Aaj wo machhli kha jaaunga Baat toh maine thaani hai Funk love, funk love Funk love, funk love Funk love! Machhli Jal ki raani hai Jeevan jiska paani hai Aaj wo machhli kha jaaunga Naam jiska Sunny hai Machhli Jal ki raani hai Jeevan jiska paani hai Aaj wo machhli kha jaaunga Baat toh maine thaani hai Bas kar tu bas baby Aiven na hass baby Ek saal se tere pichhe Ab tu jaa phass baby Bas kar tu bas baby Aiven na hass baby Tujhko main baahon mein leke Phir doonga kas baby Kash-ma-kash hogi All night long baby Aadimanav hoon main King Kong baby Mujhko samjhe tu aashiq tera You must be wrong baby I don’t give a funky love Tabhi to bana ye song baby Funk love, funk love Funk love, funk love Funk love, funk love Funk love, funk love Funk love! Fudak fudak ke, mudak fudak ke Mudak fudak ke mudak fudak Fudak fudak ke naache tu Hasi ki hai baat Oh silky baalon wali Pehle saude ko sambhal Aaja sauda kar le tu saudagar se Bigda ladka hoon achche ghar se Ishq maine try kiya tha Kuchh bhi hai milta na Waste of time, waste of money Be fizul mein pilta raha Man udaas karke main Taaron ko ginta raha Main to khada raha Par waqt ka ghanta hilta raha Funk love, funk love Funk love, funk love Machhli Jal ki raani hai Jeevan jiska paani hai Aaj wo machhli kha jaaunga Naam jiska Sunny hai Machhli Jal ki raani hai Jeevan jiska paani hai Aaj wo machhli kha jaaunga Baat toh maine thaani hai"
7,Psycho Saiyaan,Saaho,"Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi",Tanishk Bagchi,Tanishk Bagchi, ,"Tera main, tera main Tera main dum dum dumma x (2) Pehle tu neeli akhiyan ladayi gayi Raaton ki meri needein udayi gayi Nashe mein tere mujhko dubayi gayi Aise mujhe ghoore tu kaye ko, kaye ko Ke jhoothe vaade karke banayi gayi Na jaane kitnon ko rulayi gayi Oh thumkon se dil ko churayi gayi Aaja tujhe leke chalein chai ko, chai ko, Oh saiyaan saiyaan ve Oh sa sa saiyaan ve Na chhod kalaiyan Mod ke bahiyan jaldi se Side ho, side ho Aaya mora saiyaan psycho Aaya mora saiyaan psycho Tera main, tera main Tera main dum dum dumma x (2) Main ladki seedhi saadi si Bottle pee li hai aadhi si x (2) Haan teri yeh jo gravity Mujhe kheenche teri ore Oh saiyaan saiyaan re Main tera sipahiya re Na pakadun kalaiyan, chhodu na Leke aaja tere bhai ko, bhai ko Aaya mora saiyaan psycho Aaya mora saiyaan psycho"
8,The Wakhra Song,Judgemental Hai Kya,"Navv Inder, Lisa Mishra, Raja Kumari",Tanishk Bagchi,"Tanishk Bagchi, Raja Kumari", ,"Ki ae Gucci, Armani Pichhe roldi jawani Check kardi brand’an wale tag ni Aaja dassan tainu sohniye Ni fashion ki hunda Tere yaar da taan wakhra swag ni Ki ae Gucci, Armani Pichhe roldi jawani Roldi ja.. roldi ja.. roldi ja.. Check kardi brand’an wale tag ni Tag ni, tag ni Aaja dassan tainu sohniye Ni fashion ki hunda Tere yaar da taan wakhra swag ni Ho mera suit Patiyala Kitnon ko maar daala Haan Punjab di main kudi sardarni Jutti meri haigi kaim Saare kattdi hai vehm Tere ton vi zyada wakhra swag ni Oh wakhra swag ni Drop it! Chal hat! Always talkin’ money Only hear ch ching Show me how you love me I don’t want your bling Baby badi badi baatein Zyada kar na tu brait I don’t want the Gucci Armani wala tag Tu taan jaandi rakane Sadde pakke ne yaarane Jithe vi main laiyan ni ne yaariyan Gall dil di na kahiye Taiyon door door rahiye Thug hundiyan na surat’an pyariyan Tu vi hai shikaari Poori rakhdi taiyyari 3-4 ghumana hai kuwariyan Gallan kardae tu pyari Dikha ke Ferrari Karda hai jhoothi dildaariyan Oh wakhra swag ni Yo! See you tryna holla Dripin’ trendy products Thinking you’re Raja Baby you better come harder Swag ki main raani Chal photo meri kheench Be my Benz Bentley I’m still way out of your league Ki ae Gucci, Armani Pichhe roldi jawani Check kardi brand’an wale tag ni Aaja dassan tainu sohniye Ni fashion ki hunda Tere yaar da taan wakhra swag ni Haanji! Ho mera suit Patiyala Kitnon ko maar daala Haan Punjab di main kudi sardarni Jutti meri haigi kaim Saare kattdi hai vehm Tere ton vi zyada wakhra swag ni Oh wakhra swag ni Drop it! Swag ni, wakhra swag ni Wakhra swag ni Wakhra swag ni"
9,Shehar Ki Ladki,Khandaani Shafakhana,"Badshah, Tulsi Kumar, Abhijeet, Chandra Dixit",Tanishk Bagchi,Tanishk Bagchi, ,"Ankh mila ke puchhe Hi, how are you? Hi, how are you? Hi, how are you? Hath mila ke puchhe How do you do? How do you do? How do you do? Ankh mila ke puchhe Hi, how are you? Hath mila ke puchhe How do you do? Style pe uski Smile pe uski Haaye tabiyat bhadki Shehar ki ladki Shehar ki, shehar ki Shehar ki, shehar ki ladki x (2) Masti mein ghoome ghoome Ghoome ghoome ha ha ha Baahon mein jhoome jhoome Jhoome jhoome pa pa ra Haaye haaye yeh zaalim figure Teri machalti nazar Mera badan choome choome Choome, choome Ankh mila ke puchhe Hi, how are you? Hath mila ke puchhe How do you do? Style pe uski Smile pe uski Haaye tabiyat bhadki Shehar ki ladki Shehar ki, shehar ki, shehar ki Oh my god! ladki zehar Kaun si city teri, kaun sa shehar Baby hai danger, lagti hai stranger Caffeination of kehar, yes! Ladki hot ni, bohat hi hot hai Aag pakadti hai, ladkon ki maut hai Shot lagaati ae, tappe tu khaati hai Thakti nahi hai, stamina bohat hai Haaye gully gully ghoome Mere aage peeche jhoome Haaye nazar na lag jaaye mujhko Beauty meri hai caffeine ki goli jaisi Nasha na chadh jaaye tujhko Figure pe teri sab marte hain Scan poora tujhe karte hain Lambi lambi sansein bharte hain But touch karne se darte hain Roz tu aake puchhe Hi, how are you? Baal gira ke puchhe How do you do? Mumbai ki barsaat mein jaise Jhoom ke bijli kadki Shehar ki ladki Shehar ki, shehar ki Shehar ki, shehar ki Shehar ki, shehar ki Shehar ki, shehar ki ladki"
